Date,Open,High,Low,Close,Adj Close,Volume
2000-11-21,350.000000,365.000000,350.000000,355.000000,286.147552,125000
2000-11-22,355.000000,355.000000,355.000000,355.000000,286.147552,84000
2000-11-23,360.000000,365.000000,360.000000,365.000000,294.208069,65000
2000-11-24,365.000000,370.000000,365.000000,370.000000,308.376740,110000
2000-11-27,365.000000,365.000000,360.000000,360.000000,300.042206,35000
2000-11-28,360.000000,360.000000,360.000000,360.000000,300.042206,260000
2000-11-29,360.000000,360.000000,360.000000,360.000000,300.042206,615000
2000-11-30,360.000000,370.000000,360.000000,370.000000,308.376740,886000
2000-12-01,365.000000,365.000000,365.000000,365.000000,304.209473,65000
2000-12-04,365.000000,365.000000,365.000000,365.000000,304.209473,0
2000-12-05,360.000000,370.000000,360.000000,365.000000,304.209473,647000
2000-12-06,365.000000,365.000000,365.000000,365.000000,304.209473,175000
2000-12-07,365.000000,365.000000,355.000000,355.000000,295.874939,377500
2000-12-08,350.000000,350.000000,350.000000,350.000000,291.707703,100000
2000-12-11,345.000000,345.000000,335.000000,335.000000,279.205994,95000
2000-12-12,335.000000,335.000000,330.000000,330.000000,275.038727,187500
2000-12-13,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-14,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-15,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-18,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-19,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-20,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-21,330.000000,330.000000,330.000000,330.000000,275.038727,0
2000-12-22,340.000000,340.000000,320.000000,340.000000,283.373169,230000
2000-12-25,340.000000,340.000000,340.000000,340.000000,283.373169,0
2000-12-26,340.000000,340.000000,340.000000,340.000000,283.373169,0
2000-12-27,340.000000,340.000000,340.000000,340.000000,283.373169,0
2000-12-28,340.000000,340.000000,340.000000,340.000000,283.373169,0
2000-12-29,340.000000,340.000000,340.000000,340.000000,283.373169,0
2001-01-01,340.000000,340.000000,340.000000,340.000000,283.373169,0
2001-01-02,340.000000,340.000000,340.000000,340.000000,283.373169,0
2001-01-03,340.000000,340.000000,340.000000,340.000000,283.373169,0
2001-01-04,325.000000,325.000000,320.000000,320.000000,266.704193,25000
2001-01-05,325.000000,325.000000,325.000000,325.000000,270.871429,22500
2001-01-08,320.000000,325.000000,320.000000,325.000000,270.871429,30000
2001-01-09,325.000000,325.000000,300.000000,300.000000,250.035187,62500
2001-01-10,315.000000,320.000000,315.000000,320.000000,266.704193,40000
